raw_index,session_file,session_path,session_rel_path,session_source_dir,session_id,dbase_fileID,condition,condition_primary,social_context,drug,dreadd_target,dreadd_control_cohort,arena,arena_label,mouse_codes,mouse_type_1,mouse_type_2,mouse_type_3,n_animals,effective_n_animals,animal_keep_indices,animal_finite_fraction,animal_qc_status,animal_qc_notes,n_frames,n_nodes,n_coords,has_scores,score_dims,has_excluded_frames,excluded_frame_count,file_bytes,include_block1_dyadic,include_motif_discovery,motif_exclusion_reason,include_block2_egocentric,paper_include,exclusion_reason,file_modified,raw_database_file,manifest_schema_version,manifest_generated_by,condition_id,condition_raw,dyad_condition,condition_label,dyad_condition_label,condition_family_id,condition_family,condition_family_label,mouse_pair_label,arena_display_label,social_context_label,drug_label,dreadd_target_label,cohort_id,cohort_label,cohort_short_label,cohort_condition,cohort_condition_label,cohort_definition_source,cohort_definition_note,defined_contrast_set,defined_contrast_label,include_defined_primary_big_contrast,include_defined_primary_small_contrast,include_defined_wtwt_arena_contrast,include_defined_anesthetized_context,include_defined_pfc_chemogenetic,include_defined_dcn_chemogenetic,arena_condition,arena_condition_label,analysis_group_id,analysis_group_label,plot_group_label,label_text_safe_for_matlab
1,session_0001.mat,session_0001.mat,session_0001.mat,files2run,session_2360,2360,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14085630,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:18,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
2,session_0002.mat,session_0002.mat,session_0002.mat,files2run,session_2361,2361,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14029838,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
3,session_0003.mat,session_0003.mat,session_0003.mat,files2run,session_2362,2362,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14024728,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
4,session_0004.mat,session_0004.mat,session_0004.mat,files2run,session_2363,2363,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13993200,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
5,session_0005.mat,session_0005.mat,session_0005.mat,files2run,session_2364,2364,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13734261,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
6,session_0006.mat,session_0006.mat,session_0006.mat,files2run,session_2365,2365,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14091483,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
7,session_0007.mat,session_0007.mat,session_0007.mat,files2run,session_2366,2366,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14071711,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
8,session_0008.mat,session_0008.mat,session_0008.mat,files2run,session_2367,2367,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14166989,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:20,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
9,session_0009.mat,session_0009.mat,session_0009.mat,files2run,session_2368,2368,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14042759,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:20,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
10,session_0010.mat,session_0010.mat,session_0010.mat,files2run,session_2369,2369,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13892411,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:20,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
11,session_0011.mat,session_0011.mat,session_0011.mat,files2run,session_2370,2370,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13837752,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:21,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
12,session_0012.mat,session_0012.mat,session_0012.mat,files2run,session_2371,2371,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13938899,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:21,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
13,session_0013.mat,session_0013.mat,session_0013.mat,files2run,session_2372,2372,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13952458,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:22,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
14,session_0014.mat,session_0014.mat,session_0014.mat,files2run,session_2373,2373,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13895267,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:22,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
15,session_0015.mat,session_0015.mat,session_0015.mat,files2run,session_2374,2374,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13780953,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:23,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
16,session_0016.mat,session_0016.mat,session_0016.mat,files2run,session_2375,2375,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14180065,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:23,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
17,session_0017.mat,session_0017.mat,session_0017.mat,files2run,session_2440,2440,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14072527,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:24,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
18,session_0018.mat,session_0018.mat,session_0018.mat,files2run,session_2441,2441,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14113167,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:24,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
19,session_0019.mat,session_0019.mat,session_0019.mat,files2run,session_2442,2442,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14010649,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:25,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
20,session_0020.mat,session_0020.mat,session_0020.mat,files2run,session_2443,2443,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14265781,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:26,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
21,session_0021.mat,session_0021.mat,session_0021.mat,files2run,session_0005,0005,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,1;1,ok,,95998,13,2,1,95998x13x2,0,0,27712987,1,1,,1,1,,04-Jun-2026 16:31:27,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
22,session_0022.mat,session_0022.mat,session_0022.mat,files2run,session_0006,0006,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,1;1,ok,,95998,13,2,1,95998x13x2,0,0,27760814,1,1,,1,1,,04-Jun-2026 16:31:28,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
23,session_0023.mat,session_0023.mat,session_0023.mat,files2run,session_0007,0007,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,1;1,ok,,95998,13,2,1,95998x13x2,0,0,27465649,1,1,,1,1,,04-Jun-2026 16:31:29,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
24,session_0024.mat,session_0024.mat,session_0024.mat,files2run,session_0008,0008,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,1;1,ok,,95998,13,2,1,95998x13x2,0,0,27890162,1,1,,1,1,,04-Jun-2026 16:31:29,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
25,session_0025.mat,session_0025.mat,session_0025.mat,files2run,session_0009,0009,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,1;1,ok,,95998,13,2,1,95998x13x2,0,0,27635880,1,1,,1,1,,04-Jun-2026 16:31:30,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
26,session_0026.mat,session_0026.mat,session_0026.mat,files2run,session_0010,0010,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,1;1,ok,,95998,13,2,1,95998x13x2,0,0,27892392,1,1,,1,1,,04-Jun-2026 16:31:31,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
27,session_0027.mat,session_0027.mat,session_0027.mat,files2run,session_0011,0011,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,1;1,ok,,95998,13,2,1,95998x13x2,0,0,27264185,1,1,,1,1,,04-Jun-2026 16:31:31,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
28,session_0028.mat,session_0028.mat,session_0028.mat,files2run,session_0012,0012,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,1;1,ok,,95998,13,2,1,95998x13x2,0,0,27912340,1,1,,1,1,,04-Jun-2026 16:31:32,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
29,session_0029.mat,session_0029.mat,session_0029.mat,files2run,session_0013,0013,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,1;1,ok,,95998,13,2,1,95998x13x2,0,0,27892187,1,1,,1,1,,04-Jun-2026 16:31:32,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
30,session_0030.mat,session_0030.mat,session_0030.mat,files2run,session_0014,0014,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,0.9998;1,ok,,95998,13,2,1,95998x13x2,0,0,27918412,1,1,,1,1,,04-Jun-2026 16:31:34,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
31,session_0031.mat,session_0031.mat,session_0031.mat,files2run,session_0034,0034,WT_WT,WT,freely_moving_dyad,none,none,0,B,big,1;1,WT,WT,,2,2,1;2,0.9952;0.9999,ok,,95998,13,2,1,95998x13x2,0,0,26510315,1,1,,1,1,,04-Jun-2026 16:31:33,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT_WT,WT_WT,WT_WT,WT Pair,WT Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,WT Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena WT Pair,C1,cohort1:WT_WT,C1 WT Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,1,0,0,0,big:WT_WT,Big arena WT Pair,cohort1|big|WT_WT,Cohort 1 big arena WT Pair,C1 big WT Pair,1
32,session_0032.mat,session_0032.mat,session_0032.mat,files2run,session_0029,0029,M_WT,MUT,freely_moving_dyad,none,none,0,B,big,2;1,MUT,WT,,2,2,1;2,0.9938;0.9999,ok,,95998,13,2,1,95998x13x2,0,0,27293480,1,1,,1,1,,04-Jun-2026 16:31:35,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_WT,M_WT,M_WT,Mixed Pair,Mixed Pair,freely_moving_dyad,freely_moving_dyad,Freely moving dyad,Mixed Pair,Big arena,Freely moving dyad,None,None,cohort1,Cohort 1 big arena Mixed Pair,C1,cohort1:M_WT,C1 Mixed Pair,user_2026_06_25,,block1_big_free_dyad_primary,Block 1 big arena primary dyads,1,0,0,0,0,0,big:M_WT,Big arena Mixed Pair,cohort1|big|M_WT,Cohort 1 big arena Mixed Pair,C1 big Mixed Pair,1
