raw_index,session_file,session_path,session_rel_path,session_source_dir,session_id,dbase_fileID,condition,condition_primary,social_context,drug,dreadd_target,dreadd_control_cohort,arena,arena_label,mouse_codes,mouse_type_1,mouse_type_2,mouse_type_3,n_animals,effective_n_animals,animal_keep_indices,animal_finite_fraction,animal_qc_status,animal_qc_notes,n_frames,n_nodes,n_coords,has_scores,score_dims,has_excluded_frames,excluded_frame_count,file_bytes,include_block1_dyadic,include_motif_discovery,motif_exclusion_reason,include_block2_egocentric,paper_include,exclusion_reason,file_modified,raw_database_file,manifest_schema_version,manifest_generated_by,condition_id,condition_raw,dyad_condition,condition_label,dyad_condition_label,condition_family_id,condition_family,condition_family_label,mouse_pair_label,arena_display_label,social_context_label,drug_label,dreadd_target_label,cohort_id,cohort_label,cohort_short_label,cohort_condition,cohort_condition_label,cohort_definition_source,cohort_definition_note,defined_contrast_set,defined_contrast_label,include_defined_primary_big_contrast,include_defined_primary_small_contrast,include_defined_wtwt_arena_contrast,include_defined_anesthetized_context,include_defined_pfc_chemogenetic,include_defined_dcn_chemogenetic,arena_condition,arena_condition_label,analysis_group_id,analysis_group_label,plot_group_label,label_text_safe_for_matlab
216,session_0216.mat,session_0216.mat,session_0216.mat,files2run,session_0588,0588,M_DCZDCN,MUT,chemogenetic_context,DCZ,DCN,0,S,small,2;4,MUT,WT_DREADD_DCN,,2,2,1;2,0.9965;0.9228,ok,,57599,13,2,1,57599x13x2,0,0,14256208,1,1,,1,1,,04-Jun-2026 16:32:42,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_DCZDCN,M_DCZDCN,M_DCZDCN,Mut DCZ DCN,Mut DCZ DCN,dcn_chemogenetic,dcn_chemogenetic,DCN chemogenetic,Mut + WT DREADD DCN,Small arena,Chemogenetic context,DCZ,DCN,cohort3_dcn_extension,Cohort 3 DCN extension small arena Mut DCZ DCN,C3 DCN,cohort3_dcn_extension:M_DCZDCN,C3 DCN Mut DCZ DCN,user_2026_06_25,DCN chemogenetic group present in raw data; documented outside PFC contrast,cohort3_dcn_chemogenetic,Cohort 3 DCN chemogenetic extension,0,0,0,0,0,1,small:M_DCZDCN,Small arena Mut DCZ DCN,cohort3_dcn_extension|small|M_DCZDCN,Cohort 3 DCN extension small arena Mut DCZ DCN,C3 DCN small Mut DCZ DCN,1
217,session_0217.mat,session_0217.mat,session_0217.mat,files2run,session_0589,0589,M_DCZDCN,MUT,chemogenetic_context,DCZ,DCN,0,S,small,2;4,MUT,WT_DREADD_DCN,,2,2,1;2,0.9675;0.9728,ok,,57599,13,2,1,57599x13x2,0,0,15464590,1,1,,1,1,,04-Jun-2026 16:32:42,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_DCZDCN,M_DCZDCN,M_DCZDCN,Mut DCZ DCN,Mut DCZ DCN,dcn_chemogenetic,dcn_chemogenetic,DCN chemogenetic,Mut + WT DREADD DCN,Small arena,Chemogenetic context,DCZ,DCN,cohort3_dcn_extension,Cohort 3 DCN extension small arena Mut DCZ DCN,C3 DCN,cohort3_dcn_extension:M_DCZDCN,C3 DCN Mut DCZ DCN,user_2026_06_25,DCN chemogenetic group present in raw data; documented outside PFC contrast,cohort3_dcn_chemogenetic,Cohort 3 DCN chemogenetic extension,0,0,0,0,0,1,small:M_DCZDCN,Small arena Mut DCZ DCN,cohort3_dcn_extension|small|M_DCZDCN,Cohort 3 DCN extension small arena Mut DCZ DCN,C3 DCN small Mut DCZ DCN,1
218,session_0218.mat,session_0218.mat,session_0218.mat,files2run,session_0590,0590,M_DCZDCN,MUT,chemogenetic_context,DCZ,DCN,0,S,small,2;4,MUT,WT_DREADD_DCN,,2,2,1;2,0.9663;0.9656,ok,,57599,13,2,1,57599x13x2,0,0,15601136,1,1,,1,1,,04-Jun-2026 16:32:42,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_DCZDCN,M_DCZDCN,M_DCZDCN,Mut DCZ DCN,Mut DCZ DCN,dcn_chemogenetic,dcn_chemogenetic,DCN chemogenetic,Mut + WT DREADD DCN,Small arena,Chemogenetic context,DCZ,DCN,cohort3_dcn_extension,Cohort 3 DCN extension small arena Mut DCZ DCN,C3 DCN,cohort3_dcn_extension:M_DCZDCN,C3 DCN Mut DCZ DCN,user_2026_06_25,DCN chemogenetic group present in raw data; documented outside PFC contrast,cohort3_dcn_chemogenetic,Cohort 3 DCN chemogenetic extension,0,0,0,0,0,1,small:M_DCZDCN,Small arena Mut DCZ DCN,cohort3_dcn_extension|small|M_DCZDCN,Cohort 3 DCN extension small arena Mut DCZ DCN,C3 DCN small Mut DCZ DCN,1
219,session_0219.mat,session_0219.mat,session_0219.mat,files2run,session_0591,0591,M_SALPFC,MUT,chemogenetic_context,SAL,PFC,0,S,small,2;1,MUT,WT,,2,2,1;2,0.9588;0.9567,ok,,57599,13,2,1,57599x13x2,0,0,15250752,1,1,,1,1,,04-Jun-2026 16:32:42,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_SALPFC,M_SALPFC,M_SALPFC,Mut SAL PFC,Mut SAL PFC,pfc_chemogenetic,pfc_chemogenetic,PFC chemogenetic,Mut + WT,Small arena,Chemogenetic context,SAL,PFC,cohort3,Cohort 3 small arena Mut SAL PFC,C3,cohort3:M_SALPFC,C3 Mut SAL PFC,user_2026_06_25,,cohort3_pfc_chemogenetic,Cohort 3 PFC chemogenetic contrast,0,0,0,0,1,0,small:M_SALPFC,Small arena Mut SAL PFC,cohort3|small|M_SALPFC,Cohort 3 small arena Mut SAL PFC,C3 small Mut SAL PFC,1
220,session_0220.mat,session_0220.mat,session_0220.mat,files2run,session_0592,0592,M_SALPFC,MUT,chemogenetic_context,SAL,PFC,0,S,small,2;1,MUT,WT,,2,2,1;2,0.9691;0.9655,ok,,57599,13,2,1,57599x13x2,0,0,15223939,1,1,,1,1,,04-Jun-2026 16:32:42,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_SALPFC,M_SALPFC,M_SALPFC,Mut SAL PFC,Mut SAL PFC,pfc_chemogenetic,pfc_chemogenetic,PFC chemogenetic,Mut + WT,Small arena,Chemogenetic context,SAL,PFC,cohort3,Cohort 3 small arena Mut SAL PFC,C3,cohort3:M_SALPFC,C3 Mut SAL PFC,user_2026_06_25,,cohort3_pfc_chemogenetic,Cohort 3 PFC chemogenetic contrast,0,0,0,0,1,0,small:M_SALPFC,Small arena Mut SAL PFC,cohort3|small|M_SALPFC,Cohort 3 small arena Mut SAL PFC,C3 small Mut SAL PFC,1
221,session_0221.mat,session_0221.mat,session_0221.mat,files2run,session_0593,0593,M_SALPFC,MUT,chemogenetic_context,SAL,PFC,0,S,small,2;1,MUT,WT,,2,2,1;2,0.9222;0.9409,ok,,57599,13,2,1,57599x13x2,0,0,15065657,1,1,,1,1,,04-Jun-2026 16:32:42,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_SALPFC,M_SALPFC,M_SALPFC,Mut SAL PFC,Mut SAL PFC,pfc_chemogenetic,pfc_chemogenetic,PFC chemogenetic,Mut + WT,Small arena,Chemogenetic context,SAL,PFC,cohort3,Cohort 3 small arena Mut SAL PFC,C3,cohort3:M_SALPFC,C3 Mut SAL PFC,user_2026_06_25,,cohort3_pfc_chemogenetic,Cohort 3 PFC chemogenetic contrast,0,0,0,0,1,0,small:M_SALPFC,Small arena Mut SAL PFC,cohort3|small|M_SALPFC,Cohort 3 small arena Mut SAL PFC,C3 small Mut SAL PFC,1
222,session_0222.mat,session_0222.mat,session_0222.mat,files2run,session_0594,0594,M_SALPFC,MUT,chemogenetic_context,SAL,PFC,0,S,small,2;1,MUT,WT,,2,2,1;2,0.9067;0.9439,ok,,57599,13,2,1,57599x13x2,0,0,15445406,1,1,,1,1,,04-Jun-2026 16:32:43,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_SALPFC,M_SALPFC,M_SALPFC,Mut SAL PFC,Mut SAL PFC,pfc_chemogenetic,pfc_chemogenetic,PFC chemogenetic,Mut + WT,Small arena,Chemogenetic context,SAL,PFC,cohort3,Cohort 3 small arena Mut SAL PFC,C3,cohort3:M_SALPFC,C3 Mut SAL PFC,user_2026_06_25,,cohort3_pfc_chemogenetic,Cohort 3 PFC chemogenetic contrast,0,0,0,0,1,0,small:M_SALPFC,Small arena Mut SAL PFC,cohort3|small|M_SALPFC,Cohort 3 small arena Mut SAL PFC,C3 small Mut SAL PFC,1
223,session_0223.mat,session_0223.mat,session_0223.mat,files2run,session_0595,0595,M_SALPFC,MUT,chemogenetic_context,SAL,PFC,0,S,small,2;1,MUT,WT,,2,2,1;2,0.9403;0.9528,ok,,57599,13,2,1,57599x13x2,0,0,15495357,1,1,,1,1,,04-Jun-2026 16:32:43,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_SALPFC,M_SALPFC,M_SALPFC,Mut SAL PFC,Mut SAL PFC,pfc_chemogenetic,pfc_chemogenetic,PFC chemogenetic,Mut + WT,Small arena,Chemogenetic context,SAL,PFC,cohort3,Cohort 3 small arena Mut SAL PFC,C3,cohort3:M_SALPFC,C3 Mut SAL PFC,user_2026_06_25,,cohort3_pfc_chemogenetic,Cohort 3 PFC chemogenetic contrast,0,0,0,0,1,0,small:M_SALPFC,Small arena Mut SAL PFC,cohort3|small|M_SALPFC,Cohort 3 small arena Mut SAL PFC,C3 small Mut SAL PFC,1
224,session_0224.mat,session_0224.mat,session_0224.mat,files2run,session_0596,0596,M_SALPFC,MUT,chemogenetic_context,SAL,PFC,0,S,small,2;1,MUT,WT,,2,2,1;2,0.9818;0.9807,ok,,57599,13,2,1,57599x13x2,0,0,15681472,1,1,,1,1,,04-Jun-2026 16:32:44,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_SALPFC,M_SALPFC,M_SALPFC,Mut SAL PFC,Mut SAL PFC,pfc_chemogenetic,pfc_chemogenetic,PFC chemogenetic,Mut + WT,Small arena,Chemogenetic context,SAL,PFC,cohort3,Cohort 3 small arena Mut SAL PFC,C3,cohort3:M_SALPFC,C3 Mut SAL PFC,user_2026_06_25,,cohort3_pfc_chemogenetic,Cohort 3 PFC chemogenetic contrast,0,0,0,0,1,0,small:M_SALPFC,Small arena Mut SAL PFC,cohort3|small|M_SALPFC,Cohort 3 small arena Mut SAL PFC,C3 small Mut SAL PFC,1
225,session_0225.mat,session_0225.mat,session_0225.mat,files2run,session_0597,0597,M_SALPFC,MUT,chemogenetic_context,SAL,PFC,0,S,small,2;1,MUT,WT,,2,2,1;2,0.9783;0.9843,ok,,57599,13,2,1,57599x13x2,0,0,15945672,1,1,,1,1,,04-Jun-2026 16:32:44,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,M_SALPFC,M_SALPFC,M_SALPFC,Mut SAL PFC,Mut SAL PFC,pfc_chemogenetic,pfc_chemogenetic,PFC chemogenetic,Mut + WT,Small arena,Chemogenetic context,SAL,PFC,cohort3,Cohort 3 small arena Mut SAL PFC,C3,cohort3:M_SALPFC,C3 Mut SAL PFC,user_2026_06_25,,cohort3_pfc_chemogenetic,Cohort 3 PFC chemogenetic contrast,0,0,0,0,1,0,small:M_SALPFC,Small arena Mut SAL PFC,cohort3|small|M_SALPFC,Cohort 3 small arena Mut SAL PFC,C3 small Mut SAL PFC,1
